Timestamp UTC;Timestamp;Value;Source;Measurement;Unit
2024-11-21 19.00.00;2024-11-22 02.00.00;152533,9688;APF.P1;Voltage L-L Avg High;V
2024-11-21 19.00.00;2024-11-22 02.00.00;152134,8125;APF.P1;Voltage L-L Avg Low;V
2024-11-21 19.00.00;2024-11-22 02.00.00;152323,625;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 19.15.00;2024-11-22 02.15.00;152656,9688;APF.P1;Voltage L-L Avg High;V
2024-11-21 19.15.00;2024-11-22 02.15.00;152347,0625;APF.P1;Voltage L-L Avg Low;V
2024-11-21 19.15.00;2024-11-22 02.15.00;152506,5781;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 19.30.00;2024-11-22 02.30.00;152569,9844;APF.P1;Voltage L-L Avg High;V
2024-11-21 19.30.00;2024-11-22 02.30.00;152329,1875;APF.P1;Voltage L-L Avg Low;V
2024-11-21 19.30.00;2024-11-22 02.30.00;152446,9219;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 19.45.00;2024-11-22 02.45.00;152770,2656;APF.P1;Voltage L-L Avg High;V
2024-11-21 19.45.00;2024-11-22 02.45.00;152381,7969;APF.P1;Voltage L-L Avg Low;V
2024-11-21 19.45.00;2024-11-22 02.45.00;152613,5;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 20.00.00;2024-11-22 03.00.00;152993,5156;APF.P1;Voltage L-L Avg High;V
2024-11-21 20.00.00;2024-11-22 03.00.00;152649,1875;APF.P1;Voltage L-L Avg Low;V
2024-11-21 20.00.00;2024-11-22 03.00.00;152791,7031;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 20.15.00;2024-11-22 03.15.00;153036,7188;APF.P1;Voltage L-L Avg High;V
2024-11-21 20.15.00;2024-11-22 03.15.00;152658,6875;APF.P1;Voltage L-L Avg Low;V
2024-11-21 20.15.00;2024-11-22 03.15.00;152863,5781;APF.P1;Voltage L-L Avg Mean;V
2024-11-21 20.30.00;2024-11-22 03.30.00;152958,4063;APF.P1;Voltage L-L Avg High;V
